sentence,smell confidence,overt or impiled,smell words,,
The figures have been supplied by the Superintendent Registrar.,0,,,,
II.—Regulations as to Sanitary Authorities.,0,,,,
"An additional three cases of eye trouble in infants, which were not notified, were visited, 35 visits in all being made by the Health Visitors.",0,,,,
"The number of Notifications received during the year was 1,199.",0,,,,
Apples tons cwts. qrs. lbs.,0,,,not a sentenec,
"The regular inspection of the Voluntary Centres in the Borough would also be a part of their duties which, owing to lack of staff, has hitherto not been systematically carried out.",0,,,,
"I would like, however, to impress upon the Committee that the very novelty of the work has proved one of our greatest difficulties, and only those who are actually engaged in searching for and carrying out new ideas on propaganda, realise the difficulties to be encountered and to be overcome.",0,,,,
"They are being sent from Russia, Czechoslovakia, Hungary, Latonia, Latvia, Germany, France, Belgium, &c., though naturally the largest number were from Switzerland.",0,,,,
"8th June, 1887 Letitia Catherine Longinotto - Twickenham 1 Church-street Deptford 57 19th March, 1887 ""The Hut,"" Strawberry Hill-road M 3997 29th Oct, 1898 Mary Ann Hazelton 16 4491 Watson-street Deptford 39 Baildon-street Deptford 13 M 15th Jan, 1873 29th Oct, 1898 Mary Ann Hazelton 16 Watson-street Deptford 37 Baildon-street Deptford 2 4 M 15th Jan, 1873 4492 5399 5th March, 1887 Letitia Catherine Longinotto ""The Hut,"" Strawberry Hill-road Twickenham 146 Church-street Deptford 42 M 26th Feb, 1887 - 5482 8th May, 1885 Sarah Ann Mantle 110 Malpas road Brockley 35 Baildon-street Deptford 42 M 22nd April, 1885 6007 Ellen McCarthy 88 Douglas-street Deptford 42 Albury-street Deptford 50 6th Oct, 1894 M 22nd Sept, 1894 18th Dec, 1889 - ""The Hut,"" Strawberry Hill-road Twickenham 27 Watergate street Deptford 36 27th Nov, 1889 6030 Letitia Catherine Longinotto M 6043 18th April, 1890 Bernard Jaffa 112 High-street Deptford 112 High-street Deptford 213 M 29th March, 1890 6187 30th Oct, 1894 Joseph Mitchell 33 New King-street Deptford 33 New King-street Deptford 7 M 19th Oct, 1894 6206 5th Feb, 1897 James Webster 171 Lewisham High road New Cross 124 Tanner's-hill Deptford 68 M 15th Feb, 1897 Seamen's Lodging House, 22, New King-street In addition to the above, the Lodging house now in course of erection by the London County Council, in Mill Lane, which will be completed about May or June, 1903, will provide accommodation for 804 lodgers.",0,,,not a sentence,
"R. KING BROWN, M.D., Medical Officer of Health.",0,,,,
32 observations were kept on chimneys and 1 notice served.,weak,Implied,"observations, chimneys",,
